token,available,filenames,sentences,usage_count
repeat,true,"['repeat.mp4']",12,1
restaurant,false,"[]",0,0
restart,true,"['restart.mp4']",129,1
return,false,"[]",0,0
right,true,"['right.mp4']",96,1
run,false,"[]",0,0
run_late,true,"['running_late.mp4']",37,1
see,true,"['see.mp4']",13,1
send,true,"['send.mp4']",114,1
safe,true,"['safe.mp4']",150,1
sad,true,"['sad.mp4']",55,1
school,false,"[]",0,0
screen,true,"['screen.mp4']",130,1
service,false,"[]",0,0
sign,false,"[]",0,0
sit,true,"['sit.mp4']",8,1
sit_down,true,"['sit_down.mp4']",8,1
shop,true,"['shop.mp4']",83,84
slow,true,"['slow.mp4']",118,1
show,true,"['show.mp4']",94,1
stopped,false,"[]",0,0
stop,true,"['stop.mp4']",98,1
station,true,"['station.mp4']",93,1
strange,false,"[]",0,0
street,false,"[]",0,0
study,true,"['study.mp4']",29,1
student,false,"[]",0,0
take,true,"['take.mp4']",40,1
taxi,true,"['taxi.mp4']",99,1
tea,true,"['tea.mp4']",65,1
teach,true,"['teacher.mp4']",122,1
tired,true,"['tired.mp4']",35,1
time,true,"['time.mp4']",101,1
town,false,"[]",0,0
train,true,"['train.mp4']",107,1
traffic,true,"['traffic.mp4']",102,1
travel,true,"['travelling.mp4']",108,1
true,false,"[]",0,0
tasty,true,"['tasty.mp4']",70,1
today,true,"['today.mp4']",21,1
towel,false,"[]",0,0
turn,true,"['turn.mp4']",95,96,1
two,false,"[]",0,0
ticket,false,"[]",0,0
trip,false,"[]",0,0
under,false,"[]",0,0
under_control,true,"['under_control.mp4']",148,1
up,true,"['up.mp4']",21,1
urgent,false,"[]",0,0
use,false,"[]",0,0
vehicle,false,"[]",0,0
wait,true,"['wait.mp4']",58,1
water,true,"['water.mp4']",64,139,82,1
watch,true,"['watch.mp4']",33,1
where,true,"['where.mp4']",15,91,92,93,135,107,1
which,false,"[]",0,0
why,true,"['why.mp4']",1,1
work,true,"['work.mp4']",22,28,112,1
working,true,"['working.mp4']",116,1
wallet,true,"['wallet.mp4']",80,1
want,true,"['want.mp4']",63,64,65,66,71,1
welcome,true,"['welcome.mp4']",10,1
what,true,"['what.mp4']",5,63,91,92,1
who,false,"[]",0,0
wash,true,"['washing.mp4']",31,1
wash_clothes,true,"['washing_clothes.mp4']",31,1
went,false,"[]",0,0
where_is,true,"['where_is.mp4']",91,92,46,1
worry,true,"['worry.mp4']",56,1
work_done,true,"['work_completed.mp4']",112,1
write,true,"['write.mp4']",126,1
wrong,false,"[]",0,0
yes,false,"[]",0,0
you,true,"['you.mp4']",1,12,13,52,1
your,true,"['your.mp4']",5,46,1
your_house,true,"['your_house.mp4']",46,1
zip_placeholder,false,"[]",0,0
